plasmids	segments
ERR1018268_RNODE_9_length_2416_cov_44.01820	16752
ERR1018268_RNODE_9_length_2416_cov_44.01820	9090
ERR1018268_RNODE_9_length_2416_cov_44.01820	18768
ERR1018309_RNODE_11_length_1736_cov_3.00170	17127
ERR1018309_RNODE_11_length_1736_cov_3.00170	15575
ERR1190790_RNODE_14_length_37556_cov_118.93720	11534
ERR1190790_RNODE_14_length_37556_cov_118.93720	19832
ERR1190790_RNODE_6_length_1904_cov_5.86610	17201
ERR1190790_RNODE_6_length_1904_cov_5.86610	16353
ERR1190792_RNODE_8_length_2857_cov_8.07250	19842
ERR1190793_RNODE_15_length_9820_cov_15.00150	12575
ERR1190793_RNODE_2_length_3262_cov_11.47790	7020
ERR1190793_RNODE_2_length_3262_cov_11.47790	8465
ERR1190793_RNODE_70_length_11174_cov_19.50867	16093
ERR1190793_RNODE_70_length_11174_cov_19.50867	16107
ERR1190793_RNODE_70_length_11174_cov_19.50867	20452
ERR1190793_RNODE_70_length_11174_cov_19.50867	16662
ERR1190793_RNODE_70_length_11174_cov_19.50867	18245
ERR1190793_RNODE_70_length_11174_cov_19.50867	20194
ERR1190793_RNODE_70_length_11174_cov_19.50867	13700
ERR1190793_RNODE_70_length_11174_cov_19.50867	18168
ERR1190794_RNODE_13_length_39208_cov_63.00160	3049
ERR1190794_RNODE_13_length_39208_cov_63.00160	19149
ERR1190794_RNODE_3_length_2206_cov_4.00180	18114
ERR1190794_RNODE_3_length_2206_cov_4.00180	19509
ERR1190794_RNODE_3_length_2206_cov_4.00180	21126
ERR1190796_RNODE_2_length_4004_cov_328.17680	8036
ERR1190796_RNODE_2_length_4004_cov_328.17680	13544
ERR1190797_RNODE_1_length_2565_cov_5.56960	21126
ERR1190797_RNODE_1_length_2565_cov_5.56960	19918
ERR1190797_RNODE_1_length_2565_cov_5.56960	19509
ERR1190800_RNODE_26_length_9099_cov_113.50660	12596
ERR1190800_RNODE_26_length_9099_cov_113.50660	5818
ERR1190800_RNODE_26_length_9099_cov_113.50660	14146
ERR1190800_RNODE_26_length_9099_cov_113.50660	7322
ERR1190800_RNODE_2_length_1274_cov_5.33750	17569
ERR1190800_RNODE_2_length_1274_cov_5.33750	17940
ERR1190800_RNODE_2_length_1274_cov_5.33750	15670
ERR1190800_RNODE_2_length_1274_cov_5.33750	19218
ERR1190800_RNODE_2_length_1274_cov_5.33750	19853
ERR1190800_RNODE_2_length_1274_cov_5.33750	13572
ERR1190800_RNODE_46_length_2477_cov_7.24750	13705
ERR1190801_RNODE_13_length_2344_cov_77.00000	19058
ERR1190801_RNODE_13_length_2344_cov_77.00000	20698
ERR1190801_RNODE_13_length_2344_cov_77.00000	12380
ERR1190801_RNODE_13_length_2344_cov_77.00000	12037
ERR1190801_RNODE_13_length_2344_cov_77.00000	13837
ERR1190801_RNODE_13_length_2344_cov_77.00000	15521
ERR1190801_RNODE_13_length_2344_cov_77.00000	12796
ERR1190801_RNODE_13_length_2344_cov_77.00000	20055
ERR1190801_RNODE_13_length_2344_cov_77.00000	17631
ERR1190801_RNODE_16_length_5015_cov_432.06600	7192
ERR1190801_RNODE_16_length_5015_cov_432.06600	7294
ERR1190801_RNODE_16_length_5015_cov_432.06600	5486
ERR1190801_RNODE_16_length_5015_cov_432.06600	9811
ERR1190801_RNODE_16_length_5015_cov_432.06600	4102
ERR1190801_RNODE_16_length_5015_cov_432.06600	4816
ERR1190801_RNODE_16_length_5015_cov_432.06600	3142
ERR1190801_RNODE_16_length_5015_cov_432.06600	17603
ERR1190801_RNODE_16_length_5015_cov_432.06600	8626
ERR1190801_RNODE_16_length_5015_cov_432.06600	5906
ERR1190801_RNODE_16_length_5015_cov_432.06600	18671
ERR1190801_RNODE_16_length_5015_cov_432.06600	3137
ERR1190801_RNODE_16_length_5015_cov_432.06600	7421
ERR1190809_RNODE_27_length_2709_cov_8.88190	13836
ERR1190809_RNODE_27_length_2709_cov_8.88190	16788
ERR1190812_RNODE_21_length_1549_cov_10.00650	15158
ERR1190814_RNODE_23_length_2674_cov_578.29620	11777
ERR1190814_RNODE_23_length_2674_cov_578.29620	8037
ERR1190814_RNODE_7_length_2015_cov_4.95140	16961
ERR1190815_RNODE_17_length_6565_cov_5.00080	2260
ERR1190815_RNODE_17_length_6565_cov_5.00080	15802
ERR1190815_RNODE_17_length_6565_cov_5.00080	8752
ERR1190815_RNODE_17_length_6565_cov_5.00080	10288
ERR1190815_RNODE_17_length_6565_cov_5.00080	12765
ERR1190815_RNODE_17_length_6565_cov_5.00080	8879
ERR1190815_RNODE_17_length_6565_cov_5.00080	5286
ERR1190815_RNODE_2_length_104878_cov_499.00480	6560
ERR1190815_RNODE_2_length_104878_cov_499.00480	16593
ERR1190815_RNODE_2_length_104878_cov_499.00480	3855
ERR1190815_RNODE_2_length_104878_cov_499.00480	6520
ERR1190815_RNODE_2_length_104878_cov_499.00480	16165
ERR1190815_RNODE_2_length_104878_cov_499.00480	15366
ERR1190815_RNODE_2_length_104878_cov_499.00480	11699
ERR1190815_RNODE_2_length_104878_cov_499.00480	14067
ERR1190815_RNODE_2_length_104878_cov_499.00480	10188
ERR1190815_RNODE_2_length_104878_cov_499.00480	11167
ERR1190815_RNODE_2_length_104878_cov_499.00480	2616
ERR1190815_RNODE_2_length_104878_cov_499.00480	2039
ERR1190815_RNODE_2_length_104878_cov_499.00480	4338
ERR1190815_RNODE_2_length_104878_cov_499.00480	9078
ERR1190815_RNODE_2_length_104878_cov_499.00480	18983
ERR1190815_RNODE_2_length_104878_cov_499.00480	16036
ERR1190815_RNODE_2_length_104878_cov_499.00480	5374
ERR1190815_RNODE_2_length_104878_cov_499.00480	17739
ERR1190815_RNODE_2_length_104878_cov_499.00480	8379
ERR1190815_RNODE_2_length_104878_cov_499.00480	8435
ERR1190815_RNODE_2_length_104878_cov_499.00480	864
ERR1190815_RNODE_2_length_104878_cov_499.00480	19844
ERR1190816_RNODE_4_length_5150_cov_465.19030	9007
ERR1190816_RNODE_4_length_5150_cov_465.19030	19840
ERR1190817_RNODE_1_length_5187_cov_21.72890	20693
ERR1190817_RNODE_1_length_5187_cov_21.72890	15763
ERR1190823_RNODE_143_length_9871_cov_280.11626	17766
ERR1190823_RNODE_143_length_9871_cov_280.11626	18786
ERR1190823_RNODE_143_length_9871_cov_280.11626	14507
ERR1190823_RNODE_143_length_9871_cov_280.11626	17810
ERR1190823_RNODE_143_length_9871_cov_280.11626	15480
ERR1190823_RNODE_143_length_9871_cov_280.11626	17535
ERR1190823_RNODE_143_length_9871_cov_280.11626	14237
ERR1190823_RNODE_143_length_9871_cov_280.11626	10368
ERR1190823_RNODE_143_length_9871_cov_280.11626	12744
ERR1190823_RNODE_143_length_9871_cov_280.11626	18596
ERR1190823_RNODE_143_length_9871_cov_280.11626	5806
ERR1190823_RNODE_143_length_9871_cov_280.11626	9651
ERR1190823_RNODE_143_length_9871_cov_280.11626	20220
ERR1190823_RNODE_143_length_9871_cov_280.11626	5071
ERR1190823_RNODE_143_length_9871_cov_280.11626	16494
ERR1190823_RNODE_143_length_9871_cov_280.11626	1505
ERR1190823_RNODE_143_length_9871_cov_280.11626	12259
ERR1190823_RNODE_143_length_9871_cov_280.11626	20268
ERR1190823_RNODE_143_length_9871_cov_280.11626	17236
ERR1190823_RNODE_143_length_9871_cov_280.11626	13719
ERR1190823_RNODE_143_length_9871_cov_280.11626	9853
ERR1190823_RNODE_143_length_9871_cov_280.11626	16711
ERR1190823_RNODE_143_length_9871_cov_280.11626	5269
ERR1190823_RNODE_143_length_9871_cov_280.11626	6736
ERR1190823_RNODE_143_length_9871_cov_280.11626	4167
ERR1190823_RNODE_143_length_9871_cov_280.11626	16137
ERR1190823_RNODE_143_length_9871_cov_280.11626	16091
ERR1190823_RNODE_143_length_9871_cov_280.11626	11415
ERR1190823_RNODE_143_length_9871_cov_280.11626	13346
ERR1190823_RNODE_143_length_9871_cov_280.11626	8957
ERR1190823_RNODE_143_length_9871_cov_280.11626	15891
ERR1190823_RNODE_143_length_9871_cov_280.11626	14081
ERR1190823_RNODE_143_length_9871_cov_280.11626	11212
ERR1190823_RNODE_143_length_9871_cov_280.11626	8014
ERR1190823_RNODE_143_length_9871_cov_280.11626	16973
ERR1190823_RNODE_143_length_9871_cov_280.11626	7771
ERR1190823_RNODE_143_length_9871_cov_280.11626	16985
ERR1190823_RNODE_143_length_9871_cov_280.11626	8759
ERR1190823_RNODE_143_length_9871_cov_280.11626	1904
ERR1190823_RNODE_143_length_9871_cov_280.11626	5970
ERR1190823_RNODE_143_length_9871_cov_280.11626	8513
ERR1190823_RNODE_20_length_3347_cov_6.92830	6341
ERR1190824_RNODE_1_length_2943_cov_11.60010	18899
ERR1190824_RNODE_44_length_53674_cov_199.00000	18842
ERR1190824_RNODE_44_length_53674_cov_199.00000	4567
ERR1190826_RNODE_74_length_47192_cov_364.60432	10322
ERR1190826_RNODE_74_length_47192_cov_364.60432	4185
ERR1190826_RNODE_74_length_47192_cov_364.60432	1319
ERR1190826_RNODE_74_length_47192_cov_364.60432	19657
ERR1190826_RNODE_74_length_47192_cov_364.60432	13643
ERR1190826_RNODE_74_length_47192_cov_364.60432	2539
ERR1190826_RNODE_74_length_47192_cov_364.60432	1082
ERR1190826_RNODE_74_length_47192_cov_364.60432	6535
ERR1190826_RNODE_74_length_47192_cov_364.60432	6266
ERR1190826_RNODE_74_length_47192_cov_364.60432	2230
ERR1190826_RNODE_74_length_47192_cov_364.60432	17997
ERR1190826_RNODE_74_length_47192_cov_364.60432	2438
ERR1190826_RNODE_74_length_47192_cov_364.60432	12508
ERR1190826_RNODE_74_length_47192_cov_364.60432	627
ERR1190826_RNODE_74_length_47192_cov_364.60432	19300
ERR1190826_RNODE_74_length_47192_cov_364.60432	11220
ERR1190826_RNODE_74_length_47192_cov_364.60432	1680
ERR1190826_RNODE_74_length_47192_cov_364.60432	3138
ERR1190826_RNODE_74_length_47192_cov_364.60432	1657
ERR1190826_RNODE_74_length_47192_cov_364.60432	18299
ERR1190826_RNODE_74_length_47192_cov_364.60432	16099
ERR1190826_RNODE_74_length_47192_cov_364.60432	703
ERR1190826_RNODE_74_length_47192_cov_364.60432	7225
ERR1190826_RNODE_74_length_47192_cov_364.60432	10123
ERR1190826_RNODE_74_length_47192_cov_364.60432	2659
ERR1190826_RNODE_74_length_47192_cov_364.60432	19911
ERR1190826_RNODE_74_length_47192_cov_364.60432	5418
ERR1190826_RNODE_74_length_47192_cov_364.60432	17567
ERR1190826_RNODE_74_length_47192_cov_364.60432	15159
ERR1190826_RNODE_74_length_47192_cov_364.60432	15534
ERR1190826_RNODE_74_length_47192_cov_364.60432	13933
ERR1190826_RNODE_74_length_47192_cov_364.60432	7147
ERR1190826_RNODE_74_length_47192_cov_364.60432	17705
ERR1190826_RNODE_74_length_47192_cov_364.60432	2128
ERR1190826_RNODE_74_length_47192_cov_364.60432	2965
ERR1190826_RNODE_74_length_47192_cov_364.60432	1587
ERR1190826_RNODE_74_length_47192_cov_364.60432	3418
ERR1190826_RNODE_74_length_47192_cov_364.60432	8656
ERR1190826_RNODE_74_length_47192_cov_364.60432	15721
ERR1190826_RNODE_74_length_47192_cov_364.60432	4401
ERR1190826_RNODE_74_length_47192_cov_364.60432	526
ERR1190826_RNODE_74_length_47192_cov_364.60432	2675
ERR1190826_RNODE_74_length_47192_cov_364.60432	14431
ERR1190826_RNODE_74_length_47192_cov_364.60432	924
ERR1190826_RNODE_74_length_47192_cov_364.60432	7654
ERR1190826_RNODE_74_length_47192_cov_364.60432	2059
ERR1190826_RNODE_74_length_47192_cov_364.60432	8392
ERR1190826_RNODE_74_length_47192_cov_364.60432	2256
ERR1190826_RNODE_74_length_47192_cov_364.60432	2097
ERR1190826_RNODE_74_length_47192_cov_364.60432	185
ERR1190826_RNODE_74_length_47192_cov_364.60432	9539
ERR1190826_RNODE_74_length_47192_cov_364.60432	1985
ERR1190826_RNODE_74_length_47192_cov_364.60432	1684
ERR1190826_RNODE_74_length_47192_cov_364.60432	1609
ERR1190826_RNODE_74_length_47192_cov_364.60432	11062
ERR1190826_RNODE_74_length_47192_cov_364.60432	4590
ERR1190826_RNODE_74_length_47192_cov_364.60432	17297
ERR1190826_RNODE_74_length_47192_cov_364.60432	1196
ERR1190826_RNODE_74_length_47192_cov_364.60432	12159
ERR1190826_RNODE_74_length_47192_cov_364.60432	3540
ERR1190826_RNODE_74_length_47192_cov_364.60432	7298
ERR1190826_RNODE_74_length_47192_cov_364.60432	7615
ERR1190826_RNODE_74_length_47192_cov_364.60432	3567
ERR1190827_RNODE_8_length_60075_cov_30.00050	9048
ERR1190829_RNODE_10_length_5621_cov_47.28770	19846
ERR1190829_RNODE_10_length_5621_cov_47.28770	8886
ERR1190829_RNODE_10_length_5621_cov_47.28770	5758
ERR1190829_RNODE_10_length_5621_cov_47.28770	16603
ERR1190829_RNODE_10_length_5621_cov_47.28770	11527
ERR1190829_RNODE_10_length_5621_cov_47.28770	6977
ERR1190829_RNODE_10_length_5621_cov_47.28770	20734
ERR1190829_RNODE_10_length_5621_cov_47.28770	18211
ERR1190829_RNODE_10_length_5621_cov_47.28770	15062
ERR1190829_RNODE_10_length_5621_cov_47.28770	7510
ERR1190829_RNODE_10_length_5621_cov_47.28770	13335
ERR1190829_RNODE_10_length_5621_cov_47.28770	19102
ERR1190829_RNODE_10_length_5621_cov_47.28770	18927
ERR1190829_RNODE_10_length_5621_cov_47.28770	6760
ERR1190829_RNODE_10_length_5621_cov_47.28770	16510
ERR1190829_RNODE_10_length_5621_cov_47.28770	14970
ERR1190829_RNODE_10_length_5621_cov_47.28770	4250
ERR1190829_RNODE_10_length_5621_cov_47.28770	3263
ERR1190829_RNODE_10_length_5621_cov_47.28770	16579
ERR1190830_RNODE_11_length_4447_cov_24.06630	19285
ERR1190832_RNODE_11_length_1309_cov_5.00380	17163
ERR1190832_RNODE_11_length_1309_cov_5.00380	17161
ERR1190832_RNODE_20_length_2119_cov_5.00240	10597
ERR1190833_RNODE_1_length_53900_cov_28.00000	2896
ERR1190833_RNODE_1_length_53900_cov_28.00000	4674
ERR1190833_RNODE_1_length_53900_cov_28.00000	5040
ERR1190833_RNODE_1_length_53900_cov_28.00000	17741
ERR1190833_RNODE_1_length_53900_cov_28.00000	4073
ERR1190833_RNODE_1_length_53900_cov_28.00000	20199
ERR1190833_RNODE_1_length_53900_cov_28.00000	7106
ERR1190833_RNODE_1_length_53900_cov_28.00000	20195
ERR1190833_RNODE_5_length_3642_cov_9.00250	5663
ERR1190833_RNODE_5_length_3642_cov_9.00250	7042
ERR1190833_RNODE_9_length_3675_cov_46.74970	7635
ERR1190833_RNODE_9_length_3675_cov_46.74970	21255
ERR1190834_RNODE_22_length_36330_cov_26.00070	7607
ERR1190834_RNODE_22_length_36330_cov_26.00070	4170
ERR1190834_RNODE_22_length_36330_cov_26.00070	4589
ERR1190835_RNODE_4_length_16870_cov_23.46280	21181
ERR1190836_RNODE_15_length_3090_cov_57.99290	14487
ERR1190836_RNODE_15_length_3090_cov_57.99290	21043
ERR1190836_RNODE_15_length_3090_cov_57.99290	12237
ERR1190836_RNODE_15_length_3090_cov_57.99290	16073
ERR1190836_RNODE_15_length_3090_cov_57.99290	11916
ERR1190836_RNODE_15_length_3090_cov_57.99290	19928
ERR1190836_RNODE_15_length_3090_cov_57.99290	17292
ERR1190836_RNODE_15_length_3090_cov_57.99290	15092
ERR1190836_RNODE_15_length_3090_cov_57.99290	11914
ERR1190836_RNODE_15_length_3090_cov_57.99290	9572
ERR1190836_RNODE_15_length_3090_cov_57.99290	14744
ERR1190836_RNODE_15_length_3090_cov_57.99290	14089
ERR1190836_RNODE_15_length_3090_cov_57.99290	20281
ERR1190836_RNODE_15_length_3090_cov_57.99290	18050
ERR1190836_RNODE_15_length_3090_cov_57.99290	13054
ERR1190836_RNODE_17_length_5016_cov_30.40310	3137
ERR1190836_RNODE_17_length_5016_cov_30.40310	9811
ERR1190836_RNODE_17_length_5016_cov_30.40310	18671
ERR1190836_RNODE_17_length_5016_cov_30.40310	5486
ERR1190836_RNODE_17_length_5016_cov_30.40310	4102
ERR1190836_RNODE_17_length_5016_cov_30.40310	18164
ERR1190836_RNODE_17_length_5016_cov_30.40310	7192
ERR1190836_RNODE_17_length_5016_cov_30.40310	7294
ERR1190836_RNODE_17_length_5016_cov_30.40310	11322
ERR1190836_RNODE_17_length_5016_cov_30.40310	4816
ERR1190836_RNODE_17_length_5016_cov_30.40310	3142
ERR1190836_RNODE_17_length_5016_cov_30.40310	17603
ERR1190836_RNODE_17_length_5016_cov_30.40310	6671
ERR1190836_RNODE_17_length_5016_cov_30.40310	7421
ERR1190841_RNODE_13_length_6938_cov_126.01820	5770
ERR1190841_RNODE_13_length_6938_cov_126.01820	10227
ERR1190841_RNODE_13_length_6938_cov_126.01820	2715
ERR1190841_RNODE_17_length_3055_cov_75.46810	13544
ERR1190841_RNODE_17_length_3055_cov_75.46810	21041
ERR1190841_RNODE_2_length_2732_cov_92.98980	18814
ERR1190841_RNODE_2_length_2732_cov_92.98980	14960
ERR1190843_RNODE_10_length_76841_cov_35.00000	1029
ERR1190843_RNODE_10_length_76841_cov_35.00000	1245
ERR1190843_RNODE_10_length_76841_cov_35.00000	16708
ERR1190843_RNODE_10_length_76841_cov_35.00000	18422
ERR1190843_RNODE_10_length_76841_cov_35.00000	5115
ERR1190843_RNODE_10_length_76841_cov_35.00000	686
ERR1190843_RNODE_10_length_76841_cov_35.00000	168
ERR1190843_RNODE_10_length_76841_cov_35.00000	767
ERR1190843_RNODE_10_length_76841_cov_35.00000	416
ERR1190843_RNODE_10_length_76841_cov_35.00000	2211
ERR1190843_RNODE_10_length_76841_cov_35.00000	4420
ERR1190843_RNODE_10_length_76841_cov_35.00000	337
ERR1190843_RNODE_10_length_76841_cov_35.00000	1764
ERR1190843_RNODE_10_length_76841_cov_35.00000	76
ERR1190843_RNODE_23_length_1461_cov_14.04310	15588
ERR1190843_RNODE_24_length_1481_cov_3.00200	16127
ERR1190843_RNODE_2_length_8965_cov_8.32550	7541
ERR1190844_RNODE_14_length_9315_cov_11.29730	3354
ERR1190844_RNODE_14_length_9315_cov_11.29730	2806
ERR1190844_RNODE_14_length_9315_cov_11.29730	14506
ERR1190844_RNODE_14_length_9315_cov_11.29730	20505
